review,Trang,Uyên,Đạt,Gold
"- 100k more dislikes then likes - “How you hang with a guy someone that proudly says the n word” While Tana said it yelled twice - Obsessed with me, meanwhile he try’s to look up Ian’s oldest videos - Has no actual valid points in this diss track - “20 min video I’m the one you’re obsessed with” meanwhile his response is just over 22 minutes long",0,0,0,0
"-""We were instructed not to interfere in any human conflicts"" -'By who?' -""Kevin Feige""",2,2,2,-
"-""Why didn’t you guys help fight Thanos?""  -""We were instructed not to interfere in any human conflicts unless Deviants were involved""  -""By who?""  -""By a Samsung Galaxy S21 Ultra""",2,2,2,-
-how are you? -gucci gang -oh okay,2,2,2,-
-Netflix: “We care about protecting children from violent and sexual content.” -Also Netflix: “See this movie.”,0,0,0,0
":35 seconds into this trailer I find myself asking ""how the hell could something like this get approved and funded for streaming?""",0,0,0,0
:D I’m loving it dude,1,1,1,1
:how many drugs do you want in this video? Lil pump: Yes,0,0,0,0
.....what.....the....... hell.........was ...........that,0,0,0,0
"...hey, I hate mumble rap just as much as you... but come on bro, be real... if you are a MAMMAL, you like this song, just admit it and let's put this shame behind us",1,0,0,-
"'He a big nerd""  Says the guy sitting in the back of a van eating Oreo's while playing video games",0,0,0,0
'he aint got no points he confuse with big words'' and this is where i left,0,0,0,0
'Tantos años de Evolución Humana para esto definitivamente nos merecemos El Fin del Mundo:'',2,2,2,-
"'this is on youtube'' playlist, 100% accurate",2,2,2,-
'why didn't you help fight Thanos?'' Eternals: we were in Ikea,2,2,2,-
'You're a definition of what white is''  This is the same guy who thinks idubbbz is a racist . the hypocrisy and contradicting msg from this song physically hurts me,0,1,1,-
‘How you gon support a guy who proudly uses the n word’ hate to break it to you rice gum but your friend tana proudly said the n word,0,2,1,-
‘I don’t want my 11 year old daughter to be sexualised.’ And she gets called an antagonist for that,0,0,0,0
‘I watched cuties for the plot’ - every Nigel ever,0,1,1,-
‘Middle school relationship that lasts 2 weeks’ type beat,0,2,0,-
‘Why didn’t you guys help fight Thanos?”  Eternals: His chin makes us uncomfortable.,2,2,2,-
"‘Why didn’t you guys help fight Thanos?” Eternals: If we did, marvel  probably wouldn't be able to earn $900M",1,1,1,1
""" In the wraith I see stars like I'm KO'd"" I love that line",1,1,1,1
""" Oh my god. You rule ricegum!!!"" said no one ever.",0,0,0,0
"""....Amy starts to rebel against her conservative family's traditions"" oregne man bahd",2,2,2,-
"""...I don't flex much.."" ""...It's all a joke...""",0,0,0,0
"""...stop eating snacks but your getting fat.""    RiceGum:  Says while eating oreo os",2,2,2,-
"""1.3M"" Dislikes",0,0,0,0
"""10/10. The camera shots are a work of art"" - Jimmy Savile",1,1,1,1
"""2020 cant get any worse""  Netflix: It's Showtime",0,0,0,0
"""27 YEAR OLD GUY""  leafy is that you?",2,2,2,-
"""30 minute video am the one you are obsessed with"" DUDE U BEGGED FOR A CONTENT COP",0,0,0,0
"""30 minutes I'm the one your obsessed with""    ricegum had more time 'reacting' to idubbz",1,1,1,1
"""a 27 year old gay nerd that's not even cool""  Ian's channel is 1 creative 2 hes frugle with money three he still gets views",1,1,1,1
"""A 30 minute vid im who your obsessed with"" He literally contradicted himself on the first verse",1,1,1,1
"""A lyrical masterpiece, truly a work of literature even a young Shakespeare would be proud of. Lil Pump's teachings of unity have truly touched my heart. When i first heard this masterpiece I was a bit skeptical, but after indulging myself into this song and finding the hidden messages buried underneath the lyrical genius of this mastermind. I can assure you there is much more to this song than Gucci Gang X365... I can only imagine years of slaving away in complete isolation with complete focus to create a song with such depth. Sadly, I do not have the mastermind of Lilliam Pumpernickel but I have been able to decipher some of the lyrics of the song and I have decided to share my analysis. I believe Lilliam song alludes to the ideology of unity and uses the slang term ""gang"" which from the late 90's to early 2000's used to represent criminal organizations but is now used as a term for a group of friends."" The word ""Gucci"" can be interpreted in 2 different ways as a popular clothing brand used as an efficient way for the wealthy to show off their wealth or the literal translation a word that means good, great, fine,awesome and ect. Each of these translations mean the same thing and it's quite obvious. Lilliam see the poverty in this world, he himself has experienced it. This song is a cry for help, he wishes to band together an army of influential people and create a new world order. One were your status doesn't determine your lifestyle, but one where there is true equality.... Perhaps a Gucci Gang""  - Pete Mathew, 2019.",1,1,1,1
"""A society that doesn't protect children, is a society that should never exist""",1,1,1,1
"""A thirty minute vid, Im who you're obsessed with""  *Makes 4 different videos based on the content cop.  My response to content cop (22.59 min) Content cop diss track (2.29min) Frick the police diss track (3.16 min) Frick the police lyrics and meaning (8.21) total.... 36 minutes and 25 seconds dragged out in 4 videos.",1,1,1,1
"""A thirty minute vid? I'm who you're obsessed with.""
 No, Ricey. You just have that many flaws.",0,2,0,-
"""Acquimilate""",2,2,2,-
"""Age is just a number""  ""911 is a number too""",2,2,2,-
"""Age is just a number""  Yeah so is 911",2,2,2,-
"""Age is just a number"" Prison's just a room sub for funnies",0,2,2,-
"""All the tension in the world today All the little girls filling up the world today  When the good comes to bad, the bad comes to good""- Fred Durst",0,1,0,-
"""Ami, an 11 years old, steals her mother money and go with 3 other girls to twerk live on television ignoring their parents warnings. Watch as an unrealistic story unfold in a world with apparently nothing such as child protection services or cops, and question how did we make these minors girls do these questionable acts with their parents permission in this story made for Pedophiles."" ""Cuties, brought you by Netflix.""",0,1,1,-
"""Amy 11, becomes fascinated with a twerking dance crew.""  OH WOW HOW SPECIFIC OF YOU",1,1,1,1
"""Amy, 11, becomes fascinated with a twerking dance crew. Hoping to join them, she starts to explore her feminity, defying her family's tratidions"" - the first desccription made by Netflix.    “Eleven-year-old Amy starts to rebel against her conservative family’s traditions when she becomes fascinated with a free-spirited dance crew.”
 - The second description.",2,2,2,-
"""And you can wear my my my my sweatshirt, and I don't want you to be cold cold co co co cold"" I felt that",1,1,1,1
"""As predicable as a house tour."" Notice how this song is that . IDDUBZ FOR THE WIN",1,1,1,1
"""At Netflix we respect all religions and their cultures, traditions, and VALUES."" So where could the VALUE be in devaluing children by turning them into sex objects?",0,0,0,0
"""Body like a girl scout"" but isn't that you tho? Lmao",0,0,0,0
"""Bons Tempos"" ²⁰¹⁷ 🇧🇷",0,0,0,0
"""boy gotta flex, gotta flex flex flex, because when you have no personality replace it with a rolex"" you validated his whole song dude",1,1,1,1
"""Brrr grrr"" Damn I felt that",1,1,1,1
"""But I'm flexin, can you get these sheep out my mentions, how can I be mad, bitch I sleep in a mansion"" ""Came from nothing, that's why I flex alot"" But also says ""They tell me to stop flex but in sitting still"" So... he contradicted himself even in lyrics",0,1,0,-
"""by who?""  Ah yes. Rhulk, Disciple of the Witness",2,2,2,-
"""By who?"" Sees The Celestial  Understandable, have a nice day.",1,1,1,1
"""By who?"" The feeling of terror when The Celestial appears after that. I love it",1,1,1,1
"""By Who"" shows a god who can literally clap planets for breakfast ""Understandable Have a great day""",1,1,1,1
"""Calling you surface level would be an insult to the ground floor.""",0,0,0,0
"""came out from nothing thats why i flex alot"" i felt that",1,1,1,1
"""Chillin with a hair tie no makeup with some sweatpants on"" ""cause your the olny one i hold and i dont want you to be cold"" ""and you can tell your friends we'll be together to the end ""💚💚🎶🎶🎵🎵🎧🎧🎤🎤",1,1,1,1
"""Chillin with her hair tie, no makeup with her sweatpants on""  the girl: not wearing a hairtie, has makeup on, and isnt wearing sweatpants",2,2,2,-
"""Chillin' with a hair tie, no makeup, with some sweatpants on"" - Jacob ""Sweat pants, hair tied, chillin' with no make-up on"" - Drake",2,2,2,-
"""confuse you with big words"" I still don't know how ricegum was really in the studio 5 years ago and was really thinking ""you know what I should insult? his ability to understand the language better than me.""",0,0,0,0
"""Confuses you with big words""",0,0,0,0
"""Confuses you with big words"" he basically called him and his fans dumb. Then all his semi good roasts weren't even in the song.",0,0,0,0
"""Couldn't dress a lot ... that's why I flex a lot."" Rhyming at best.",1,1,1,1
